series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import
52034,"""Oshi no Ko""",TV,11,0,11,2023-04-12,2023-06-29,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
55791,"""Oshi no Ko"" 2nd Season",TV,13,0,10,2024-07-05,0000-00-00,,10,,0.00,Watching,,0,,LOW,,0,0,1,default,0
54041,16bit Sensation: Another Layer,TV,13,0,13,2023-10-08,2023-12-28,,0,,0.00,Completed,,0,,LOW,malSync::eyJ1IjoiaHR0cHM6Ly9hbml3YXRjaC50by8xNmJpdC1zZW5zYXRpb24tYW5vdGhlci1sYXllci0xODYxMCIsInAiOiIifQ==::,0,0,1,default,0
53802,2.5-jigen no Ririsa,TV,24,0,6,2024-07-06,0000-00-00,,0,,0.00,Watching,,0,,LOW,",malSync::eyJ1IjoiaHR0cHM6Ly9oaWFuaW1lLnRvLzI1LWRpbWVuc2lvbmFsLXNlZHVjdGlvbi0xOTI0NSIsInAiOiIifQ==::",0,0,1,default,0
36793,3D Kanojo: Real Girl,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
51464,4-nin wa Sorezore Uso wo Tsuku,TV,11,0,1,2022-10-22,0000-00-00,,4,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
38101,5-toubun no Hanayome,TV,12,0,12,0000-00-00,2022-10-30,,7,,0.00,Completed,"it had pretty good charecter development but I dropped it for a while the watched it again, I think this was mostly the build up for the later story part",0,,LOW,,0,0,1,default,0
39783,5-toubun no Hanayome ∬,TV,12,0,12,2022-10-30,2022-10-31,,7,,0.00,Completed,better then the first season with the the female MCs all falling for him and it had a good ending,0,,LOW,,0,0,1,default,0
48548,5-toubun no Hanayome Movie,Movie,1,0,1,2022-10-31,2022-11-01,,7,,0.00,Completed,didnt think it was yotsuba i wanted it to be someone else but the story writing and direction were very good,0,,LOW,,0,0,1,default,0
58755,5-toubun no Hanayome*,TV Special,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
54915,5-toubun no Hanayome∽,TV Special,2,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
41457,86,TV,11,0,11,2022-08-31,2022-08-31,,9,,0.00,Completed,"one of the first war kinda anime ive watched and I liked the op, def good drama but felt a bit rushed ",0,,LOW,,0,0,1,default,0
48569,86 Part 2,TV,12,0,12,2022-08-31,2022-09-01,,9,,0.00,Completed,"had a good start and ending. The op in one of my fav, the story was different from what ive watched untill now and I really liked the ending. I think I give it a 9/10 if it wouldve had 24 eps just for the part 2",0,,LOW,,0,0,1,default,0
32998,91 Days,TV,12,0,0,2024-05-22,0000-00-00,,0,,0.00,On-Hold,,0,,LOW,,0,0,1,default,0
25397,Absolute Duo,TV,12,0,12,2024-01-02,2024-01-06,,0,,0.00,Completed,,0,,LOW,malSync::eyJ1IjoiaHR0cHM6Ly9hbml3YXRjaC50by9hYnNvbHV0ZS1kdW8tNTU1NCIsInAiOiIifQ==::,0,0,1,default,0
11759,Accel World,TV,24,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
39790,Adachi to Shimamura,TV,12,0,12,0000-00-00,0000-00-00,,7,,0.00,Completed,"Underrated and the ending didnt finish the anime properly, the animation was really good and I think a season 2 would really make this better",0,,LOW,,0,0,1,default,0
49520,Aharen-san wa Hakarenai,TV,12,0,4,2024-02-24,0000-00-00,,0,,0.00,On-Hold,,0,,LOW,,0,0,1,default,0
37403,Ahiru no Sora,TV,50,0,50,2023-10-25,2023-11-05,,5,,0.00,Completed,,0,,LOW,,0,0,1,default,0
34881,Aho Girl,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
54846,Aishang Ta de Liyou,ONA,22,0,22,2023-05-16,2023-07-08,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
58143,Aishang Ta de Liyou Extra,ONA,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
50429,Aiyou de Mishi,ONA,16,0,16,2023-04-13,2023-07-19,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31580,Ajin,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
30123,Akagami no Shirayuki-hime,TV,12,0,12,2023-12-12,2023-12-12,,0,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31173,Akagami no Shirayuki-hime 2nd Season,TV,12,0,12,2023-12-12,2023-12-13,,0,,0.00,Completed,,0,,LOW,malSync::eyJ1IjoiaHR0cHM6Ly9hbml3YXRjaC50by9zbm93LXdoaXRlLXdpdGgtdGhlLXJlZC1oYWlyLTItNTA3IiwicCI6IiJ9::,0,0,1,default,0
31483,"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",OVA,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
22199,Akame ga Kill!,TV,24,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
25013,Akatsuki no Yona,TV,24,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
48553,Akebi-chan no Sailor-fuku,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
52193,Akiba Meido Sensou,TV,12,0,6,2022-10-07,0000-00-00,,0,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
41433,Akudama Drive,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
